CO_CURSO,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79
1888,6,7,5,5,6,5,4,6,3,3,2
1114748,4,3,7,7,7,2,2,4,4,4,4
101102,5,4,3,3,8,5,3,5,5,1,1
3663,6,5,6,6,6,5,4,6,1,6,6
1428343,8,8,8,6,8,8,5,6,6,1,1
69766,6,7,5,7,7,4,3,5,1,3,5
21151,6,1,3,1,1,2,2,1,2,6,6
1888,6,6,6,6,6,4,2,6,4,6,6
77337,5,5,6,6,4,6,6,6,6,2,1
15830,6,3,3,5,7,7,4,6,3,3,1
13315,1,4,1,2,6,4,4,3,3,3,1
7940,6,5,6,7,6,6,5,6,5,2,1
48705,6,6,6,6,6,5,5,6,6,1,1
1069057,6,1,5,1,1,4,4,3,2,6,5
80299,6,3,4,2,5,5,2,6,4,5,2
1258519,6,6,6,6,6,6,6,6,7,6,8
45654,6,4,6,6,6,4,5,4,4,5,4
34373,6,7,7,7,7,5,3,6,5,3,3
1185929,8,8,6,1,1,6,3,6,6,6,6
90103,6,2,6,6,6,6,6,6,6,6,5
1442964,6,4,4,4,2,6,5,6,6,3,3
14701,1,5,7,7,6,4,5,6,6,2,4
8054,6,6,6,5,6,6,6,6,6,1,1
32885,6,6,6,4,4,5,2,4,4,5,3
1443905,6,6,6,6,6,6,6,6,6,6,1
100326,5,4,5,6,1,4,5,5,4,4,3
92173,6,6,6,6,6,6,6,6,6,1,1
100658,6,6,6,6,6,6,6,6,6,1,1
97982,6,6,6,6,7,6,6,6,5,1,1
19480,6,6,6,6,1,6,6,6,4,6,6
1087199,6,5,6,5,6,6,6,6,6,3,3
54830,6,8,6,6,6,6,6,6,3,1,6
4148,5,6,6,6,6,5,5,5,4,6,6
67666,6,6,6,6,6,6,6,6,1,6,6
49417,3,3,3,3,3,3,3,2,3,4,4
38830,3,3,2,5,5,6,5,6,2,5,5
1642,6,6,6,6,6,6,6,6,6,1,1
1165118,6,6,6,6,6,6,6,6,6,6,6
68926,3,6,6,6,7,6,6,5,6,1,1
64805,6,6,6,6,6,5,5,5,6,1,1
1190041,6,6,6,6,6,6,6,6,6,1,1
40657,6,6,6,6,6,6,6,6,6,1,1
122776,6,6,6,7,6,6,6,6,1,1,1
1340998,6,6,6,6,6,6,6,6,7,1,3
103252,6,6,6,6,6,6,6,6,6,1,1
100326,6,6,6,4,4,6,6,6,6,3,1
112524,8,8,8,8,8,6,6,8,6,6,8
19303,6,6,4,3,6,3,2,6,6,6,6
12974,1,6,6,1,3,6,6,6,6,6,6
14213,1,1,3,7,8,1,1,6,8,1,1
35443,6,6,6,6,6,6,6,6,6,1,1
1314982,5,5,5,5,5,5,5,5,5,5,5
1550648,6,6,6,6,8,5,6,6,6,5,1
1304565,6,6,6,6,8,6,6,6,6,1,1
111726,6,6,6,6,7,6,6,6,6,6,6
89309,6,5,5,3,6,6,6,6,6,1,1
54830,6,6,6,6,6,6,6,6,6,4,1
122152,6,2,4,3,3,2,3,3,4,3,1
1286550,5,6,6,6,7,6,5,5,5,7,8
17083,6,6,6,6,6,6,6,6,6,6,6
79480,4,6,6,6,7,6,5,6,5,1,1
1127982,6,6,6,6,6,6,6,6,6,6,6
114758,3,4,6,5,2,5,5,4,4,5,6
79934,6,6,6,6,6,6,6,6,6,1,3
100326,8,6,6,6,8,8,6,6,6,1,1
11600,6,5,5,5,5,5,5,5,5,5,5
116378,8,8,4,4,8,4,4,8,8,8,8
1443,3,3,3,4,3,4,3,4,2,3,4
13582,4,6,5,5,4,5,5,4,5,1,1
55600,6,6,6,6,6,6,6,6,6,6,6
111720,6,6,6,7,8,5,6,6,6,2,1
963,6,5,5,6,6,5,6,6,6,5,1
50785,6,7,4,4,7,3,3,3,3,3,5
1374709,6,4,5,7,8,3,4,6,4,4,3
1170036,6,6,6,8,8,6,6,6,6,1,6
1427352,6,6,6,6,6,6,5,5,5,6,5
10868,6,6,6,6,6,6,6,6,6,4,2
1314232,6,6,6,6,6,6,6,6,4,6,6
165,2,3,4,3,3,3,2,4,3,6,1
73350,6,6,6,6,6,3,3,6,6,6,6
96231,6,1,4,8,8,3,3,5,2,4,6
55294,6,6,6,7,7,6,5,6,3,3,2
1259130,4,3,4,6,5,4,3,2,4,4,6
68048,6,7,6,7,7,6,6,6,5,3,5
108648,2,7,3,7,7,3,2,6,4,5,1
1396028,5,7,5,7,4,5,3,6,6,1,6
21023,6,6,6,6,6,6,6,3,6,3,6
1287596,5,5,5,5,5,5,5,5,5,4,8
1167598,6,7,6,6,6,6,6,6,4,6,3
43427,6,6,4,3,2,6,6,6,6,1,1
48549,2,1,1,1,6,4,4,6,1,6,6
1258534,8,8,7,8,8,8,6,6,6,1,1
13433,6,1,3,6,3,1,1,3,1,6,6
1128678,6,6,6,4,6,6,4,4,6,1,2
90545,5,7,3,7,2,6,6,6,4,4,1
48439,6,5,6,5,5,5,5,5,5,4,5
1483827,6,6,6,6,6,6,5,6,3,6,6
9919,5,7,7,8,8,4,4,5,4,4,4
52779,6,6,6,6,6,6,6,6,6,1,1
1382605,8,8,8,7,8,8,8,8,6,1,1
1165118,8,5,7,7,8,7,7,5,5,8,8
37802,6,6,6,6,7,6,6,6,6,6,1
54437,7,7,7,7,7,7,7,6,3,4,5
1117877,3,4,2,5,5,4,4,1,6,4,6
1284322,6,5,6,6,4,6,6,5,4,4,4
1170115,5,4,3,4,8,2,3,2,3,4,3
18587,6,6,6,6,6,6,6,6,3,6,6
95026,6,6,8,8,8,6,6,6,6,1,1
1401679,6,8,6,6,8,6,6,6,6,1,1
91799,1,3,4,8,8,4,5,4,6,1,1
7518,6,4,4,4,5,3,4,4,4,3,2
46529,7,7,7,7,6,7,7,7,7,6,6
101188,5,5,5,5,5,5,5,5,5,5,2
8696,6,6,6,6,6,3,6,6,2,6,3
1314232,8,6,6,6,6,6,6,6,6,1,1
1115471,6,6,6,6,6,6,6,6,6,1,1
15877,6,6,7,6,6,6,6,6,6,6,1
81046,6,6,6,1,1,3,3,6,6,3,1
20651,6,4,6,3,7,5,5,5,2,6,6
1259979,6,6,6,6,8,6,6,6,6,1,1
1340998,6,6,6,6,1,6,6,6,6,1,6
111720,3,3,4,5,8,4,5,3,4,3,1
1514191,6,5,6,5,5,6,6,6,6,1,1
145,1,3,6,7,7,4,4,6,5,2,1
91707,4,5,5,6,6,6,6,6,6,2,2
11220,6,5,6,4,6,2,6,5,4,4,4
114403,6,3,4,4,3,3,4,6,4,6,1
6616,6,6,6,6,6,6,6,6,6,6,6
1427352,6,6,6,5,7,4,5,5,5,5,6
1349239,6,7,6,7,8,6,5,4,3,6,3
56720,6,6,6,6,6,6,6,6,6,1,3
1467671,6,6,6,6,4,6,6,6,6,6,6
5000076,1,4,6,6,7,4,4,6,3,3,6
73115,6,6,6,5,6,4,1,3,2,6,6
18730,6,6,6,6,6,6,6,6,5,6,6
114539,4,4,6,7,7,4,4,6,6,3,6
25795,6,1,2,7,7,2,3,5,1,6,5
54836,6,6,6,6,6,6,6,6,6,1,1
1349480,6,4,6,2,3,6,6,6,2,6,6
13852,5,4,5,6,6,6,4,5,3,5,6
29863,6,3,6,5,1,1,3,4,6,4,6
1166222,8,6,6,6,8,8,8,8,8,8,1
1531,6,7,4,7,6,5,4,5,4,5,4
112524,4,4,4,4,4,4,4,4,4,4,4
88024,6,3,6,5,6,5,5,2,4,5,5
14366,1,4,2,2,4,3,3,6,5,2,3
3203,3,2,6,7,6,3,2,6,4,5,6
122406,6,6,6,5,6,6,6,6,6,6,6
5316,6,6,6,7,6,5,3,6,1,6,6
1327349,7,6,6,6,6,6,6,6,6,1,1
1427616,6,6,6,3,6,7,6,6,6,6,6
121026,6,6,6,6,1,6,6,6,6,7,6
1466489,5,5,5,5,8,5,6,2,6,5,5
1116776,6,7,6,7,8,6,6,6,6,1,1
102113,6,3,5,5,1,6,5,6,4,5,1
